net,length_um
net2001,230.74µm
net1385,230.61µm
_03284_,230.49µm
net2046,230.37µm
net987,230.32µm
net490,230.18µm
net584,230.16µm
_07427_,229.96µm
net2403,229.86µm
_05052_,229.8µm
_03345_,229.55µm
net1871,229.54µm
net1615,229.42µm
net1951,229.37µm
net1242,229.36µm
net1892,229.32µm
net2047,229.18µm
_03922_,229.12µm
net968,229.1µm
_03256_,229.04µm
net1751,229.02µm
net1130,228.97µm
net1335,228.91µm
net866,228.85µm
net1250,228.6µm
net884,228.565µm
net1087,228.45µm
_03253_,228.36µm
net761,228.28µm
net652,228.205µm
net2102,228.15µm
_03136_,228.13µm
_08379_,228.02µm
net1474,227.59µm
net1408,227.46µm
net1787,227.39µm
net1905,227.345µm
_06937_,227.17µm
net1861,226.705µm
net1020,226.685µm
_09074_,226.66µm
net210,226.6µm
net1486,226.52µm
net1535,226.395µm
net635,226.19µm
net1856,225.975µm
net1613,225.91µm
net1498,225.84µm
net801,225.82µm
net1680,225.59µm
net681,225.58µm
net1519,225.54µm
clknet_6_55_0_clk,225.54µm
net546,225.42µm
net1473,225.395µm
net2017,225.26µm
net1001,225.22µm
net1644,224.87µm
net1325,224.79µm
net2212,224.72µm
_03119_,224.65µm
net926,224.65µm
net899,224.625µm
_03310_,224.61µm
net862,224.55µm
_03150_,224.44µm
net1653,224.35µm
net2332,224.3µm
net1116,224.16µm
net1037,224.08µm
net1744,224µm
net2417,223.92µm
net496,223.72µm
net1243,223.705µm
net1309,223.65µm
net1609,223.49µm
net1824,223.465µm
net1876,223.45µm
net700,223.44µm
net1009,223.38µm
net1530,223.26µm
net1957,223.075µm
net1863,222.96µm
net1655,222.61µm
net1849,222.58µm
_05318_,222.52µm
net911,222.44µm
net553,222.365µm
net1416,222.34µm
net1941,222.26µm
net2356,222.24µm
_03299_,222.22µm
_03153_,222.2µm
net415,222.16µm
net1529,222.13µm
net1481,221.84µm
net1212,221.75µm
_09160_,221.72µm
net805,221.595µm
net851,221.59µm
net919,221.54µm
net917,221.515µm
_09138_,221.46µm
_03282_,221.44µm
net961,221.42µm
net891,221.405µm
net907,221.335µm
net1052,221.22µm
net1179,221.18µm
net675,221.165µm
_03348_,221.16µm
net1269,221.04µm
net2323,220.88µm
_06879_,220.66µm
net1298,220.66µm
net1725,220.56µm
net2191,220.41µm
_03140_,220.39µm
_03280_,220.34µm
net2056,220.32µm
net694,220.115µm
_05848_,220.06µm
_09179_,220µm
net950,219.97µm
net1945,219.945µm
net1872,219.94µm
_08240_,219.89µm
net642,219.745µm
net1991,219.64µm
net804,219.24µm
net1343,219.04µm
net2380,218.96µm
net1699,218.95µm
net2321,218.725µm
net1502,218.67µm
net978,218.5µm
net1783,218.46µm
net770,218.36µm
net1709,218.36µm
net2185,218.33µm
net622,218.11µm
_05471_,217.88µm
_06417_,217.86µm
net844,217.77µm
net621,217.695µm
_03303_,217.65µm
_03302_,217.61µm
_05142_,217.59µm
_03167_,217.485µm
net1851,217.44µm
net326,217.42µm
net230,217.36µm
net2355,217.17µm
net2112,217.14µm
net728,217µm
_03195_,216.97µm
net2009,216.9µm
net832,216.74µm
_03177_,216.52µm
net1367,216.51µm
clknet_6_19_0_clk,216.5µm
net970,216.42µm
net1887,216.275µm
net650,216.225µm
_03159_,216µm
net2101,215.965µm
net1327,215.92µm
net1311,215.88µm
net668,215.825µm
_03102_,215.81µm
net2290,215.72µm
net2278,215.68µm
net964,215.625µm
net2171,215.62µm
net2157,215.48µm
net263,215.46µm
net504,215.44µm
_03209_,215.38µm
net779,215.305µm
net775,215.01µm
net484,214.94µm
net1270,214.82µm
_09171_,214.78µm
net1573,214.59µm
net2386,214.56µm
net792,214.465µm
_03128_,214.38µm
_09166_,214.38µm
net2427,214.36µm
_03200_,214.27µm
net1514,214.14µm
_04284_,214.04µm
_03245_,214µm
net1324,213.95µm
net1584,213.88µm
net2179,213.81µm
net800,213.72µm
net962,213.525µm
net983,213.46µm
net1478,213.16µm
net1138,213.1µm
net1040,212.9µm
net2412,212.88µm
net477,212.86µm
_03260_,212.38µm
net2069,212.3µm
net1014,212.24µm
_05720_,212.02µm
_09092_,211.62µm
net1220,211.56µm
net1337,211.56µm
_03301_,211.53µm
net1608,211.53µm
_03343_,211.52µm
net656,211.51µm
net2318,211.505µm
_06484_,211.175µm
net1322,211.12µm
net2286,211.08µm
net748,210.98µm
net1973,210.95µm
_03283_,210.9µm
net1840,210.7µm
_06788_,210.68µm
net2330,210.53µm
_03353_,210.4µm
net1024,210.4µm
net2057,210.35µm
net2143,210.25µm
net768,210.235µm
net1593,210.13µm
clknet_6_54_0_clk,210.1µm
_03336_,209.98µm
net1684,209.98µm
net1005,209.9µm
_03288_,209.75µm
net2365,209.6µm
_03313_,209.58µm
net713,209.415µm
net1756,209.36µm
net981,209.24µm
u_core.instr\[25\],209.22µm
net1954,209.115µm
net587,209.1µm
_03182_,209.06µm
_09157_,209.06µm
_03317_,208.92µm
net615,208.895µm
net265,208.8µm
_05361_,208.7µm
_03252_,208.64µm
_03714_,208.58µm
_03262_,208.5µm
net1300,208.46µm
net488,208.26µm
net1366,207.78µm
net1883,207.68µm
net1046,207.64µm
net300,207.495µm
_03161_,207.34µm
net1524,207.31µm
net795,207.29µm
net673,207.245µm
net461,207.21µm
net1104,207.16µm
_03137_,207.1µm
_09186_,207.04µm
net1666,206.99µm
net2339,206.93µm
net791,206.74µm
net709,206.64µm
net1405,206.58µm
_04193_,206.44µm
net229,206.42µm
_05442_,206.4µm
_03210_,206.32µm
_03158_,205.86µm
_03165_,205.78µm
net1534,205.69µm
net1583,205.67µm
net1779,205.54µm
